Time	Experiment	Condition	pERK1	pMEK
0	1	1	0.779	0.605
5	1	1	2.69	2.64
10	1	1	2.05	0.966
20	1	1	2.25	1.36
30	1	1	1.42	0.456
45	1	1	1.32	0.507
60	1	1	1.15	0.469
120	1	1	0.898	0.637
240	1	1	1.19	1.04
0	1	2	0.162	0.127
5	1	2	1.37	0.628
10	1	2	1.16	0.551
20	1	2	0.946	0.3
30	1	2	0.413	0.149
45	1	2	0.362	0.173
60	1	2	0.418	0.316
120	1	2	0.281	0.25
240	1	2	0.173	0.263
0	2	1	0.09416	0.174
5	2	1	0.549	1.64
10	2	1	0.491	0.973
20	2	1	0.484	1.07
30	2	1	0.338	0.455
45	2	1	0.212	0.234
60	2	1	0.247	0.427
120	2	1	0.168	0.343
240	2	1	0.097243	0.238
0	2	2	0.04606	0.066537
5	2	2	0.08834	0.161
10	2	2	0.185	0.301
20	2	2	0.158	0.156
30	2	2	0.203	0.134
45	2	2	0.048802	0.222
60	2	2	0.068833	0.251
120	2	2	0.053289	0.179
240	2	2	0.042061	0.107
0	3	1	NA	2.97
5	3	1	NA	9.84
10	3	1	NA	7.76
20	3	1	NA	4.63
30	3	1	NA	2.86
45	3	1	NA	2.4
60	3	1	NA	2.62
120	3	1	NA	1.94
240	3	1	NA	NA
0	3	2	NA	1.12
5	3	2	NA	1.74
10	3	2	NA	2.61
20	3	2	NA	1.99
30	3	2	NA	1.59
45	3	2	NA	1.51
60	3	2	NA	1.75
120	3	2	NA	1.31
240	3	2	NA	NA
0	4	1	NA	NA
5	4	1	NA	NA
10	4	1	NA	NA
20	4	1	NA	NA
30	4	1	NA	NA
45	4	1	NA	NA
60	4	1	NA	NA
120	4	1	NA	NA
240	4	1	NA	NA
0	4	2	NA	NA
5	4	2	NA	NA
10	4	2	NA	NA
20	4	2	NA	NA
30	4	2	NA	NA
45	4	2	NA	NA
60	4	2	NA	NA
120	4	2	NA	NA
240	4	2	NA	NA
60	5	3	1.38668649	0.55026413
5	5	4	1.6757512	0.45607271
120	5	4	0.87728995	0.380815
20	5	4	0.89312008	0.3600885
10	5	1	8.19726439	0.958286
60	5	1	3.62423993	1.057373
5	5	3	3.13683096	2.6201135
20	5	1	5.66675112	0.753885
20	5	3	5.9837285	0.5468525
5	5	1	7.047164	2.598117
0	5	4	1.539962	0.3454545
10	5	3	6.617294	1.452769
10	5	4	2.0405837	0.489381
30	5	3	6.54862314	0.32229
60	5	4	1.12682397	0.389174
120	5	3	1.8180765	0.55335
120	5	1	2.27444	0.541493
30	5	4	2.3817566	0.3990535
30	5	1	3.36282192	0.60040087
0	5	3	1.539962	0.3454545
0	5	1	1.539962	0.3454545
